acousticness;analysis_url;danceability;duration_ms;energy;id;instrumentalness;music_key;liveness;loudness;mode;name;speechiness;tempo;time_signature;track_href;type;uri;valence
0.0033;https://api.spotify.com/v1/audio-analysis/35IWHI9JgriCbP5rlOjKFK;0.586;208813;0.868;35IWHI9JgriCbP5rlOjKFK;0.00000128;1;0.105;-4.558;1;"Bittersweet Company";0.0379;100.025;4;https://api.spotify.com/v1/tracks/35IWHI9JgriCbP5rlOjKFK;audio_features;spotify:track:35IWHI9JgriCbP5rlOjKFK;0.357
0.541;https://api.spotify.com/v1/audio-analysis/35lAjvsvS9k9HHuP1fjDT8;0.638;245560;0.511;35lAjvsvS9k9HHuP1fjDT8;0.00478;2;0.26;-10.041;1;"Human Nature";0.0289;93.108;4;https://api.spotify.com/v1/tracks/35lAjvsvS9k9HHuP1fjDT8;audio_features;spotify:track:35lAjvsvS9k9HHuP1fjDT8;0.68
0.468;https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0;0.737;172325;0.802;35mvY5S1H3J2QZyna3TFe0;0;0;0.0931;-4.771;1;positions;0.0878;144.015;4;https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0;audio_features;spotify:track:35mvY5S1H3J2QZyna3TFe0;0.682
0.899;https://api.spotify.com/v1/audio-analysis/35ovElsgyAtQwYPYnZJECg;0.247;196520;0.299;35ovElsgyAtQwYPYnZJECg;0;9;0.131;-6.083;1;"Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By";0.0315;177.115;4;https://api.spotify.com/v1/tracks/35ovElsgyAtQwYPYnZJECg;audio_features;spotify:track:35ovElsgyAtQwYPYnZJECg;0.172
0.787;https://api.spotify.com/v1/audio-analysis/35r28RDot7nPE7y9K9H7l0;0.412;257267;0.227;35r28RDot7nPE7y9K9H7l0;0.00000469;0;0.282;-12.696;1;"Feeling Whitney";0.0359;80.111;4;https://api.spotify.com/v1/tracks/35r28RDot7nPE7y9K9H7l0;audio_features;spotify:track:35r28RDot7nPE7y9K9H7l0;0.226
0.00739;https://api.spotify.com/v1/audio-analysis/35sFGUnvLP2LPHzmdwsq40;0.604;202907;0.711;35sFGUnvLP2LPHzmdwsq40;0.00000117;9;0.13;-5.018;1;"When You Look Like That";0.0397;140.058;4;https://api.spotify.com/v1/tracks/35sFGUnvLP2LPHzmdwsq40;audio_features;spotify:track:35sFGUnvLP2LPHzmdwsq40;0.882
0.85;https://api.spotify.com/v1/audio-analysis/35xSkNIXi504fcEwz9USRB;0.469;257380;0.289;35xSkNIXi504fcEwz9USRB;0.00000248;5;0.161;-10.625;0;Solo;0.0366;133.805;4;https://api.spotify.com/v1/tracks/35xSkNIXi504fcEwz9USRB;audio_features;spotify:track:35xSkNIXi504fcEwz9USRB;0.258
0.000787;https://api.spotify.com/v1/audio-analysis/35YZB3NoKwJezIXb1OWaJd;0.396;203640;0.863;35YZB3NoKwJezIXb1OWaJd;0.00000195;11;0.279;-2.646;1;Hallelujah;0.0453;150.778;4;https://api.spotify.com/v1/tracks/35YZB3NoKwJezIXb1OWaJd;audio_features;spotify:track:35YZB3NoKwJezIXb1OWaJd;0.438
0.908;https://api.spotify.com/v1/audio-analysis/35ZobdJK28ivwmMgyubZak;0.592;168600;0.0603;35ZobdJK28ivwmMgyubZak;0;0;0.0918;-16.355;1;"Nevertheless (I'm In Love With You)";0.0308;78.354;4;https://api.spotify.com/v1/tracks/35ZobdJK28ivwmMgyubZak;audio_features;spotify:track:35ZobdJK28ivwmMgyubZak;0.333
0.388;https://api.spotify.com/v1/audio-analysis/36c4JohayB9qd64eidQMBi;0.804;251293;0.451;36c4JohayB9qd64eidQMBi;0.0000217;6;0.0924;-8.207;1;"Doin' it Right (feat. Panda Bear)";0.0949;178.061;4;https://api.spotify.com/v1/tracks/36c4JohayB9qd64eidQMBi;audio_features;spotify:track:36c4JohayB9qd64eidQMBi;0.19
0.0334;https://api.spotify.com/v1/audio-analysis/36cmM3MBMWWCFIiQ90U4J8;0.779;222187;0.963;36cmM3MBMWWCFIiQ90U4J8;0.493;2;0.664;-2.125;0;"Bounce (feat. Kelis) - Radio Edit";0.0399;127.941;4;https://api.spotify.com/v1/tracks/36cmM3MBMWWCFIiQ90U4J8;audio_features;spotify:track:36cmM3MBMWWCFIiQ90U4J8;0.759
0.0278;https://api.spotify.com/v1/audio-analysis/36h4FnJGkK3cAl6Q7R1Now;0.558;205402;0.678;36h4FnJGkK3cAl6Q7R1Now;0;9;0.149;-3.508;0;"Burden Of Proof";0.71;165.527;4;https://api.spotify.com/v1/tracks/36h4FnJGkK3cAl6Q7R1Now;audio_features;spotify:track:36h4FnJGkK3cAl6Q7R1Now;0.381
0.0191;https://api.spotify.com/v1/audio-analysis/36lqt57OHqk48BVFzPDEKt;0.521;243960;0.752;36lqt57OHqk48BVFzPDEKt;0;11;0.0682;-5.374;0;"Midnight City";0.0369;105.051;4;https://api.spotify.com/v1/tracks/36lqt57OHqk48BVFzPDEKt;audio_features;spotify:track:36lqt57OHqk48BVFzPDEKt;0.3
