acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,music_key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_href,type,uri,valence
0.000264,https://api.spotify.com/v1/audio-analysis/0i4ggi1qGPbr8OqaKBm5iY,0.449,238627,0.635,0i4ggi1qGPbr8OqaKBm5iY,0.0000465,1,0.332,-7.557,1,"Shark Attack",0.0397,166.04,4,https://api.spotify.com/v1/tracks/0i4ggi1qGPbr8OqaKBm5iY,audio_features,spotify:track:0i4ggi1qGPbr8OqaKBm5iY,0.273
0.00114,https://api.spotify.com/v1/audio-analysis/0i5QVxsK3IvEDbUjTA64Li,0.541,198600,0.616,0i5QVxsK3IvEDbUjTA64Li,0.00000109,0,0.151,-6.53,1,"Silver Lining",0.028,144.218,4,https://api.spotify.com/v1/tracks/0i5QVxsK3IvEDbUjTA64Li,audio_features,spotify:track:0i5QVxsK3IvEDbUjTA64Li,0.203
0.0984,https://api.spotify.com/v1/audio-analysis/0IFLXekhLh1VAxGX6mcMqV,0.741,173465,0.716,0IFLXekhLh1VAxGX6mcMqV,0.00559,10,0.26,-6.368,0,"For The Love - Big Wild Remix",0.0948,101.017,4,https://api.spotify.com/v1/tracks/0IFLXekhLh1VAxGX6mcMqV,audio_features,spotify:track:0IFLXekhLh1VAxGX6mcMqV,0.557
0.705,https://api.spotify.com/v1/audio-analysis/0JcjupySdUvwYNV7DDkbwU,0.761,251367,0.252,0JcjupySdUvwYNV7DDkbwU,0.926,0,0.199,-11.605,1,"Rango II",0.0452,76.346,4,https://api.spotify.com/v1/tracks/0JcjupySdUvwYNV7DDkbwU,audio_features,spotify:track:0JcjupySdUvwYNV7DDkbwU,0.44
0.0291,https://api.spotify.com/v1/audio-analysis/0JMk9csEVM46TH2OwFU5aY,0.742,197419,0.685,0JMk9csEVM46TH2OwFU5aY,0.00918,8,0.109,-7.245,1,"Higher Ground",0.0633,123.972,4,https://api.spotify.com/v1/tracks/0JMk9csEVM46TH2OwFU5aY,audio_features,spotify:track:0JMk9csEVM46TH2OwFU5aY,0.447
0.294,https://api.spotify.com/v1/audio-analysis/0jx8zY5JQsS4YEQcfkoc5C,0.771,206240,0.647,0jx8zY5JQsS4YEQcfkoc5C,0,5,0.37,-5.127,0,"Angels (feat. Saba)",0.376,155.914,4,https://api.spotify.com/v1/tracks/0jx8zY5JQsS4YEQcfkoc5C,audio_features,spotify:track:0jx8zY5JQsS4YEQcfkoc5C,0.678
0.942,https://api.spotify.com/v1/audio-analysis/0JzcD1Wr90jvmZMle4OF18,0.492,153250,0.134,0JzcD1Wr90jvmZMle4OF18,0,0,0.126,-10.605,1,"Poetry (Intimate)",0.0659,158.444,3,https://api.spotify.com/v1/tracks/0JzcD1Wr90jvmZMle4OF18,audio_features,spotify:track:0JzcD1Wr90jvmZMle4OF18,0.492
0.00611,https://api.spotify.com/v1/audio-analysis/0k664IuFwVP557Gnx7RhIl,0.767,195145,0.889,0k664IuFwVP557Gnx7RhIl,0,7,0.402,-2.988,1,Juice,0.0963,119.93,4,https://api.spotify.com/v1/tracks/0k664IuFwVP557Gnx7RhIl,audio_features,spotify:track:0k664IuFwVP557Gnx7RhIl,0.843
0.821,https://api.spotify.com/v1/audio-analysis/0KgrW4TBWF4DvmtQl2Gco8,0.532,111416,0.267,0KgrW4TBWF4DvmtQl2Gco8,0.0000111,8,0.146,-12.25,1,SmthnthtIwnt,0.078,140.734,4,https://api.spotify.com/v1/tracks/0KgrW4TBWF4DvmtQl2Gco8,audio_features,spotify:track:0KgrW4TBWF4DvmtQl2Gco8,0.146
0.013,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,0.853,206693,0.56,0KKkJNfGyhkQ5aFogxQAPU,0,1,0.0944,-4.961,1,"That's What I Like",0.0406,134.066,4,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,audio_features,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.86
0.196,https://api.spotify.com/v1/audio-analysis/0kN8xEmgMW9mh7UmDYHlJP,0.578,261240,0.574,0kN8xEmgMW9mh7UmDYHlJP,0,2,0.083,-6.209,1,"Versace on the Floor",0.0454,174.152,4,https://api.spotify.com/v1/tracks/0kN8xEmgMW9mh7UmDYHlJP,audio_features,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,0.301
